lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,sp_smdm,bz_smsm,bz_smdm
4096,4096,4096,0.3,0.009,5033165,150995,16777216,16777216,16777216,68719476736,0.0027,45298.4832,206158430.2,5497,3863,28492
4096,4096,4096,0.3,0.01,5033165,167772,16777216,16777216,16777216,68719476736,0.003,50331.648,618475290.6,5337,4407,28449
4096,4096,4096,0.3,0.03,5033165,503316,16777216,16777216,16777216,68719476736,0.009,150994.944,1030792151,5338,11511,28426
4096,4096,4096,0.3,0.05,5033165,838861,16777216,16777216,16777216,68719476736,0.015,251658.24,1443109011,5439,15293,28413
4096,4096,4096,0.3,0.07,5033165,1174405,16777216,16777216,16777216,68719476736,0.021,352321.536,1855425872,5335,23424,28448
4096,4096,4096,0.3,0.09,5033165,1509949,16777216,16777216,16777216,68719476736,0.027,452984.832,2061584302,5333,25704,28484
4096,4096,4096,0.3,0.1,5033165,1677722,16777216,16777216,16777216,68719476736,0.03,503316.48,10307921510,5362,27318,28520
4096,4096,4096,0.3,0.5,5033165,8388608,16777216,16777216,16777216,68719476736,0.15,2516582.4,14431090115,5333,72013,28465
4096,4096,4096,0.3,0.7,5033165,11744051,16777216,16777216,16777216,68719476736,0.21,3523215.36,10307921.51,5314,90371,28425
4096,4096,4096,0.5,0.007,8388608,117441,16777216,16777216,16777216,68719476736,0.0035,58720.256,309237645.3,7053,3562,37699
4096,4096,4096,0.5,0.009,8388608,150995,16777216,16777216,16777216,68719476736,0.0045,75497.472,343597383.7,7072,4938,37707
4096,4096,4096,0.5,0.01,8388608,167772,16777216,16777216,16777216,68719476736,0.005,83886.08,1030792151,7288,5262,37691
4096,4096,4096,0.5,0.03,8388608,503316,16777216,16777216,16777216,68719476736,0.015,251658.24,1717986918,7055,16618,37798
4096,4096,4096,0.5,0.05,8388608,838861,16777216,16777216,16777216,68719476736,0.025,419430.4,2405181686,7044,22437,37729
4096,4096,4096,0.5,0.07,8388608,1174405,16777216,16777216,16777216,68719476736,0.035,587202.56,3092376453,6996,28785,37746
4096,4096,4096,0.5,0.1,8388608,1677722,16777216,16777216,16777216,68719476736,0.05,838860.8,10307921510,7039,35244,37803
4096,4096,4096,0.5,0.3,8388608,5033165,16777216,16777216,16777216,68719476736,0.15,2516582.4,24051816858,7094,70322,37699
4096,4096,4096,0.5,0.7,8388608,11744051,16777216,16777216,16777216,68719476736,0.35,5872025.6,17179869.18,7074,108099,37745
