lr,lc,rc,ld,rd,lnnz,rnnz
80582,14431,384,0.00860544,0.13,10007283,721665
126636,24192,561,0.00296184,0.001,9073916,13586
9244,41300,24556,0.00041097,0.005,156905,5071095
43641,73360,3546,0.00041097,0.2,1315751,52041672
18257,1665,21943,0.00160539,0.13,48824,4751757
26818,40542,9059,0.00163948,0.15,1782568,55096311
128475,3642,15486,0.00018467,0.005,86421,282049
85897,29183,22006,0.00370564,0.03,9289125,19266782
1232,35121,20835,1.651e-05,0.001,714,731768
146799,44538,14185,0.00031941,0.03,2088364,18953505
137299,99547,1550,0.00034241,0.1,4680017,15431392
109924,38202,5876,0.00019487,0.15,818332,33672996
147960,65045,7982,0.00082282,0.13,7918993,67500800
138461,74758,9766,0.00018467,0.005,1911550,3650680
16929,71763,4724,0.00056263,0.2,683540,67807137
89527,10395,7012,2.483e-05,0.25,23108,18224705
89669,14198,12547,0.00082282,0.001,1047617,178157
63647,9030,27583,0.00047003,0.15,270165,37364510
69561,9712,17758,0.00018467,0.2,124769,34497130
139572,67225,10326,4.34e-06,0.001,40721,694210
102673,30145,2875,2.088e-05,0.3,64626,26006027
146452,49337,7831,0.00034241,0.13,2474141,50231793
29062,50129,3460,1.651e-05,0.001,24053,173493
136631,46290,4482,0.00163948,0.1,10369277,20748792
146470,8081,8129,0.00056263,0.2,665994,13139510
6711,69060,5404,0.00952101,0.03,4412859,11196560
148542,22118,1709,0.00047003,0.3,1544264,11340501
80021,15835,22821,0.00296184,0.15,3753302,54210143
115543,50502,6798,0.00163948,0.2,9566760,68664652
81874,12183,12713,0.00182521,0.17,1820724,26332174
17430,37323,26365,0.00108175,0.01,703771,9840364
28495,78842,8717,0.00163948,0.05,3683316,34363775
55952,90460,4454,0.00034241,0.13,1733084,52384249
76580,99678,10446,0.00015297,0.005,1167692,5206222
3002,27490,13574,1.651e-05,0.0005,1362,186584
20687,66742,4914,0.00031941,0.001,441029,327987
2025,41300,12075,0.00013363,0.03,11177,14961777
105597,20547,17000,0.00082185,0.2,1783219,69862952
107481,8711,15995,0.00952101,0.23,8915018,32049376
21229,538,23596,0.00013363,0.005,1527,63543
